price,product_name
"3 049,00 zł","Notebook / Laptop 15,6"" HP Pavilion 15 Ryzen 5-4500/16GB/512/Win10 Silver"
"2 999,00 zł","Notebook / Laptop 14,0"" Huawei MateBook D 14  R7-3700U/8GB/512/Win10 srebrny"
"3 899,00 zł","Notebook / Laptop 15,6"" Dell Inspiron G3 i5-10300H/16GB/512/Win10 GTX1650Ti"
"3 699,00 zł","Notebook / Laptop 15,6"" Dell Vostro 3500 i5-1135G7/16GB/512/Win10P"
"2 399,00 zł","Notebook / Laptop 15,6"" ASUS VivoBook R R564JA i3-1005G1/8GB/240/W10 Touch"
"3 499,00 zł","Notebook / Laptop 14,0"" Huawei MateBook 14 R5-4600H/16GB/512/Win10 szary"
"2 489,00 zł","Notebook / Laptop 15,6"" Dell Inspiron 3501 i3-1005G1/8GB/256/Win10"
"2 499,00 zł","Notebook / Laptop 15,6"" ASUS VivoBook 15 F515JA i3-1005G1/8GB/240/W10"
"2 849,00 zł","Notebook / Laptop 15,6"" HP Pavilion 15 Ryzen 5-4500/8GB/512/Win10 Silver"
"2 249,00 zł","Notebook / Laptop 14,1"" HP 14 i3-1005G1/8GB/256/Win10"
"3 199,00 zł","Notebook / Laptop 15,6"" HP Pavilion 15 i5-1135G7/16GB/512/Win10 Silver"
"1 899,00 zł","Notebook / Laptop 15,6"" ASUS X515MA-BR210T N4020/8GB/256/W10"
"2 999,00 zł","Notebook / Laptop 15,6"" Dell Inspiron 3593 i5-1035G1/8GB/256/Win10"
"3 399,00 zł","Notebook / Laptop 16"" HP Pavilion Gaming i5-10300H/16GB/512/Win10 GTX1650Ti"
"2 599,00 zł","Notebook / Laptop 15,6"" Lenovo IdeaPad 3-15 Ryzen 5/8GB/512/Win10"
"5 499,00 zł","Notebook / Laptop 15,6"" ASUS TUF Dash F15 i7-11370H/24GB/512/W10 RTX3060 144Hz"
"3 149,00 zł","Notebook / Laptop 14,1"" HP 14s i5-1135G7/16GB/512/Win10 IPS"
"4 199,00 zł","Notebook / Laptop 15,6"" Acer Nitro 5 i5-10300H/16GB/512/W10 GTX1660Ti 144Hz"
"4 999,00 zł","Notebook / Laptop 13,3"" Apple MacBook Air M1/8GB/256/Mac OS Space Gray"
"3 449,00 zł","Notebook / Laptop 15,6"" HP Pavilion Gaming i5-10300H/16GB/512 GTX1650Ti"
"2 499,00 zł","Notebook / Laptop 15,6"" ASUS VivoBook R R564JA i3-1005G1/12GB/240/W10 Touch"
"3 599,00 zł","Notebook / Laptop 15,6"" HP Pavilion 15 Ryzen 7-4700/16GB/512/Win10 Silver"
"2 549,00 zł","Notebook / Laptop 14,1"" Lenovo IdeaPad 3-14 i5-1035G1/8GB/256/Win10"
"3 299,00 zł","Notebook / Laptop 15,6"" Dell Vostro 3500 i5-1135G7/8GB/256/Win10P"
"5 299,00 zł","Notebook / Laptop 17,3"" Lenovo Legion 5i-17 i7-10750H/32GB/512 RTX2060 144Hz"
"3 499,00 zł","Notebook / Laptop 16"" Huawei MateBook D 16 R5-4600H/16GB/512/Win10"
"3 199,00 zł","Notebook / Laptop 15,6"" Dell Inspiron 3593 i5-1035G1/16GB/256/Win10"
"3 149,00 zł","Notebook / Laptop 15,6"" Acer Aspire 5 R5-4500U/16GB/512/W10 IPS Srebrny"
"3 199,00 zł","Notebook / Laptop 15,6"" Lenovo IdeaPad Gaming 3-15 R5/16GB/512/Win10X GTX1650"
"3 899,00 zł","Notebook / Laptop 15,6"" Acer Nitro 5 i5-10300H/16GB/512 GTX1660Ti 144Hz"
"119,00 zł",Pendrive (pamięć USB) Samsung 128GB BAR Plus Titan Gray 400MB/s
"119,00 zł",Myszka przewodowa Razer Abyssus Essential
"59,99 zł",Myszka bezprzewodowa Logitech M185 szara
"99,00 zł",Kamera internetowa Imilab WebCam 1080P USB
"45,00 zł",Klawiatura  przewodowa Dell KB216-B QuietKey USB (czarna)
"349,00 zł",Klawiatura  przewodowa Razer Ornata Chroma
"119,00 zł",Myszka przewodowa Logitech G102 LIGHTSYNC czarna
"119,00 zł",Zestaw klawiatura i mysz Dell KM636 Wireless Keyboard and Mouse (czarna)
"249,00 zł",Klawiatura  przewodowa SPC Gear GK630K Tournament Kailh Brown RGB
"39,00 zł",Moduł Bluetooth TP-Link UB400 Bluetooth 4.0 USB
"249,99 zł",Słuchawki przewodowe SPC Gear VIRO Plus USB
"129,99 zł",Myszka przewodowa SPC Gear LIX
"89,89 zł",Kamera internetowa A4Tech HD PK-910P USB Black
"59,99 zł",Myszka przewodowa Redragon GRIFFIN
"33,99 zł",Myszka przewodowa Dell MS116 optyczna czarna USB
"59,99 zł",Hub USB Silver Monkey USB-C -  4x USB 3.0
"249,00 zł",Słuchawki do konsoli SteelSeries Arctis 1 (Xbox Series X / S / PC)
"159,00 zł",Myszka bezprzewodowa Logitech M705 Marathon
"249,99 zł",Klawiatura bezprzewodowa x-kom Aluminium Wireless Keyboard (Srebrna)
"159,99 zł",Klawiatura bezprzewodowa Microsoft All-in-One Media Keyboard
"259,00 zł",Słuchawki przewodowe SteelSeries Arctis 1 Czarne
"149,00 zł",Myszka przewodowa Razer Deathadder Essential
"59,00 zł",Myszka bezprzewodowa ASUS WT465 (czarna)
"49,99 zł",Myszka bezprzewodowa Microsoft 1850 Wireless Mobile Mouse Czarny
"419,00 zł",Klawiatura bezprzewodowa Logitech MX Keys
"49,99 zł",Moduł Bluetooth ASUS USB-BT400 Bluetooth 4.0 USB Nano Class II
"219,00 zł",Myszka przewodowa Logitech G502 HERO
"79,00 zł",Głośniki komputerowe Creative 2.0 Pebble (czarny)
"59,99 zł",Myszka bezprzewodowa Logitech M185 niebieska
"39,00 zł",Pendrive (pamięć USB) Kingston 64GB DataTraveler 100 G3 (USB 3.0)
"1 199,00 zł",Program biurowy Microsoft Office 2019 Home & Business
"39,00 zł",Mapa do nawigacji GPS Navitel Navigator Mapa Europy 1 rok
"599,00 zł",System operacyjny Microsoft Windows 10 Home PL 32/64bit BOX USB
"299,00 zł",Program biurowy Microsoft 365 Personal
"639,00 zł",System operacyjny Microsoft Windows 10 PRO PL 64bit OEM DVD
"79,00 zł",Program antywirusowy Kaspersky Internet Security Home&Student 1st. (12m.)
"499,00 zł",System operacyjny Microsoft Windows 10 Home PL 64bit OEM DVD
"689,00 zł",Program biurowy Microsoft Office 2019 Home & Student
"549,00 zł",Program biurowy Microsoft Aplikacje 365 dla firm subskrypcja 12m. CSP
"49,00 zł",Program antywirusowy NortonLifeLock Antivirus Plus 1st. (12m.)
"59,00 zł",Program antywirusowy NortonLifeLock 360 Standard 1st. (12m)
"599,00 zł",Program biurowy Microsoft 365 Business Standard subskrypcja 12m. CSP
"99,00 zł",Program antywirusowy NortonLifeLock 360 Deluxe 5st. (12m.)
"299,00 zł",Program biurowy Microsoft 365 Personal ESD
"999,00 zł",System operacyjny Microsoft Windows 10 PRO PL 32/64bit BOX USB
"159,00 zł",Program antywirusowy Eset NOD32 Antivirus 1st. (24m.)
"89,00 zł",Program antywirusowy NortonLifeLock 360 Deluxe 3st. (12m.)
"399,00 zł",Program biurowy Microsoft 365 Family ESD
"155,00 zł",Program antywirusowy NortonLifeLock Premium 10st. (12m.) ESD
"649,00 zł",Program biurowy Microsoft Office 2019 Home & Student Win10/Mac ESD
"399,00 zł",Program biurowy Microsoft 365 Family
"125,00 zł",Program antywirusowy NortonLifeLock 360 Premium 10st. (12m.)
"1 199,00 zł",Program biurowy Microsoft Office 2019 Home & Business Win10/Mac ESD
"115,00 zł",Program antywirusowy NortonLifeLock Deluxe 3st. (12m.) ESD
"135,00 zł",Program antywirusowy NortonLifeLock Deluxe 5st. (12m.) ESD
"649,00 zł",Program biurowy Microsoft 365 Business Standard
"149,00 zł",Program antywirusowy NortonLifeLock | Norton 360 for Gamers
"365,00 zł",Program antywirusowy Eset Security Pack 3PC + 3smartfony (36m.) ESD
"89,00 zł",Program antywirusowy NortonLifeLock 360 Standard 1st. (12m) do desktopa/laptopa Dell
"119,00 zł",Program antywirusowy Eset NOD32 Antivirus 1st. (12m.)
"439,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS (1500VA/900W,  4x Schuko, AVR, LCD)"
"379,00 zł","Zasilacz awaryjny (UPS) Qoltec Monolith (1200VA/720W, 2xFR, AVR, USB, LCD)"
"179,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS (600VA/360W, 2x Schuko, AVR, LCD)"
"429,00 zł","Zasilacz awaryjny (UPS) APC Back-UPS (700VA/390W, 3xFR, USB, AVR)"
"529,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS (2000VA/1200W,  4x Schuko, AVR, LCD)"
"339,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS (1000VA/600W, 2xIEC, 2x Schuko, AVR, LCD)"
"199,99 zł","Zasilacz awaryjny (UPS) Qoltec Monolith (800VA/480W, FR, Schuko, LCD)"
"269,00 zł","Zasilacz awaryjny (UPS) CyberPower UPS UT850EG-FR (850VA/425W, 3xFR, AVR)"
"449,00 zł","Zasilacz awaryjny (UPS) APC APC Back-UPS (650VA/400W, 8x FR, USB)"
"459,00 zł","Zasilacz awaryjny (UPS) APC Back-UPS ES (400VA/240W, 8xPL, 1,8m)"
"289,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS AiO (800VA/480W, 6x Schuko, AVR, LCD)"
"199,00 zł","Zasilacz awaryjny (UPS) CyberPower UPS BU650E-FR (600VA/360W, 3xFR, AVR)"
"409,00 zł","Zasilacz awaryjny (UPS) APC Back-UPS (700VA/390W, 4xIEC, RJ-45,USB, AVR)"
"499,00 zł","Zasilacz awaryjny (UPS) Ever UPS ECO PRO 700 AVR CDS + Optima - 6 gniazd, 3m"
"719,99 zł","Zasilacz awaryjny (UPS) Green Cell UPS (1000VA/900W, 2x Schuko, LCD)"
"1 239,00 zł","Zasilacz awaryjny (UPS) CyberPower UPS CP1500EPFCLCD (1500VA/900W, 6xSchuko, AVR)"
"319,00 zł","Zasilacz awaryjny (UPS) APC Back-UPS (500VA/300W, 3xIEC, AVR)"
"1 999,00 zł",Serwer Dell PowerEdge T40 E-2224G/8GB/1TB/DVD-RW/1Y NBD
"699,00 zł","Zasilacz awaryjny (UPS) Power Walker VI 2200 (2200VA/1200W, 2xPL/IEC, USB, AVR)"
"839,00 zł","Zasilacz awaryjny (UPS) CyberPower UPS Value Pro (1600VA/960W, 5xFR, AVR, LCD)"
"419,00 zł","Zasilacz awaryjny (UPS) CyberPower UPS Value Pro (700VA/390W, 4xFR, AVR, LCD)"
"949,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS (1000VA/900W, 6x IEC, LCD, RACK)"
"749,00 zł","Zasilacz awaryjny (UPS) Green Cell UPS (2000VA/1400W, 3x IEC, 2x Schuko, AVR, LCD)"
